대한무역투자진흥공사 투자입지 및 산업단지/공장용지 정보,"국가투자유치포털 Investkorea.org에서 영어, 중국어, 일본어 등 3개 언어로 제공중인 산업입지 관련 DB를 정보 개방형 표준 포맷 중 하나인 JSON 포맷으로 제공하고 있음.",2016-06-08,2016-07-19,기획팀,,['공장용지']
경기도 공유재산 현황,"경기도에서 보유하고 있는 공공 자산의 상세한 목록정보를 제공 * 경기도 공유재산(경기도 소유 재산) 분류체계 - 토지,건물,입목죽,공작물,기계기구,선박,항공기,무체재산,유가증권,용익물권,회원권 *경기도 공유재산 구분 - 행정재산 : 각재산관리관 부서에서 특정 행정목적으로 사용,관리하고 있는 재산 - 일반재산:행정목적 상실,용도폐지된 재산, 처분(매각,대부,교환,양여 등)가능 재산",2015-10-26,2015-10-27,빅데이터담당관,031-8008-2895,['공유재산 현황(2015)']
경기도 물가정보 현황,경기도내 시군별 물가정보(도시가스/상하수도/시내버스/쓰래기봉투/택시/하수도) 현황 정보입니다.,2017-11-16,2017-11-24,빅데이터담당관,031-8008-2895,[]
경기도 조합 현황,"경기도 내의 단체를 구성하여 공동목표를 추구하는 노동조합, 협동조합, 산림조합 등과 같은 조합 현황 정보입니다.",2017-11-15,2017-11-20,빅데이터담당관,031-8008-2895,[]
재해위험지구 현황,재해위험지구 제공,2017-03-21,2018-02-12,정보통계담당관실,02-2100-3050,"['지자체별 유형별 재해위험지구 현황 리스트 정보', '지자체별 유형별 재해위험지구 현황 상세 정보', '지자체별 지구명별 재해위험지구 현황 리스트 정보', '지자체별 지구명별 재해위험지구 현황 상세 정보', '지자체별 추진사항별 재해위험지구 현황 리스트 정보', '지자체별 추진사항별 재해위험지구 현황 상세 정보']"
한옥숙박정보,전주한옥마을 내 숙박업소 정보,2015-02-09,2015-02-16,,,"['한옥마을숙박정보 목록', '한옥마을숙박정보 상세보기', '한옥마을숙박정보 이미지보기']"
대학공시정보 대학비교통계 서비스,(대학공시정보) 대학공시정보의 대학비교통계를 이용할 수 있는 서비스,2017-12-11,2017-12-12,대학정보공시센터,02-6919-3891,"['입학전형 최종 등록률 조회', '신입생 기회균형 선발 비율 조회', '정원내 신입생 경쟁률 조회', '재학생 충원율 조회', '재학생 조회', '휴학생 조회', '전임교원 1인당 학생수(편제정원기준) 조회', '전임교원 1인당 학생수(재학생) 조회', '전임교원 교내 1인당 연구비 조회', '전임교원 교외 1인당 연구비 조회', '비전임교원 강의담당비율 조회', '수익용 기본재산 부담률 조회', '전임교원 1인당 저역서 조회', '학생 1인당 자료 구입비 조회', '학자금대출 이용학생비율(등록금(학비)) 조회', '국립 공립 기성 회계 세출 결산 금액(천원) 조회', '국립 공립 발전 기금 세출 결산 금액(천원) 조회', '교비 회계 세출 결산 금액(천원) 조회', '법인 회계 세출 결산 금액(천원) 조회', '산학 협력단 회계 세출 결산 금액(천원) 조회']"
경기도 농/축/수산물 검사현황,경기도 농/축/수산 물에 대한 검사 정보 현황입니다.,2017-10-19,2017-10-31,빅데이터담당관,031-8008-2895,[]
포락지관리정보,(연안관리정보) 포락지 관리 정보,2015-12-30,2015-12-30,연안계획과,,"['전체 포락지 목록 조회', '지역별 포락지 목록 조회', '면적별 포락지 목록 조회', '조사면적별 포락지 목록 조회', '관리번호별 포락지 목록 조회', '지번별 포락지 목록 조회', '포락지 상세 정보 조회', '포락지 사진 목록 조회']"
[공통] 산업재산권 권리권자 변동사항,"특허권자의 순위, 변경일자, 기타 정보에 관한 내용",2012-12-03,2014-07-22,"정보관리과,한국특허정보원 IP정보확산팀,한국특허정보원 IP정보확산팀",042-481-5137,['권리자변동정보']
부두정보,부두정보를 조회한다.,2014-04-01,2017-09-28,국제물류사업단 정보보안부,051-999-3154,['부두정보']
전국어린이놀이시설안전관리사업통계정보서비스,"○ 제공내용 : 전국어린이놀이시설의 안전관리사업통계정보를 제공한다.
○ 제공시스템 : 어린이 놀이시설안전관리시스템(www.cpf.go.kr)",2013-12-02,2017-11-24,정보통계담당관실,02-2100-3050,['안전관리사업통계정보조회']
울산광역시 버스정보,울산시 시내버스 정보 제공,2016-05-30,2018-04-10,교통정책과,052-229-4275,"['노선별정류장정보 조회', '버스정류장정보 조회', '교통카드충전소정보 조회', '버스도착정보 조회', '버스시간표정보 조회', '노선정보 조회']"
온라인자료정보,국립중앙도서관에서 기사색인서비스 등의 API 제공,2014-10-01,2018-03-05,,,[]
부산 공영주차장 정보 조회,"공영 주차장명 목록, 상세 정보",2015-11-11,2017-08-14,교통관리과,051-888-4016,"['주차장 정보 목록 조회', '주차장 정보 상세 조회']"
경기도 안산시_CCTV 정보,경기도 안산시 CCTV 정보를 제공합니다.,2017-05-04,2017-05-10,정보통신과,031-481-2085,[]
한국남동발전 연료소비실적,한국남동발전 발전소의 연료소비실적 정보입니다.,2016-08-23,2017-09-28,ICT융합부,070-8898-1823,['한국남동발전 연료소비실적 조회']
제주도내물가정보,제주특별자치도 물가정보,2013-12-31,2014-03-22,제주특별자치도,064-710-2345,[]
제품위해정보,"소비자가 안전한 제품을 선택, 소비할 수 있고 기업은 안전한 제품을 생산할 수 있도록 돕는 제품 위해정보를 공유 및 개방",2014-04-23,2014-04-25,,,[]
유치원 공시정보,"전국 국/공/사립 유치원의 기본현황, 건물현황 등을 조회하는 공시정보 조회서비스",2017-01-16,2017-01-17,유아교육정보특임팀,053-714-0450,['유치원 기본현황 목록 조회']
경기도 안산시_전기차충전소 정보,경기도 안산시 전기차충전소 정보를 제공합니다.,2017-05-04,2017-05-08,정보통신과,031-481-2085,[]
영화정보 DB,각종 영화관련 정보서비스를 위해 영화코드/영화명 등 기본적으로 필요한 영화메타정보로 홈페이지를 통해 서비스 제공,2014-07-03,2014-08-14,정보화사업팀,051-720-4871,[]
연안 자료제공 정보,(국가연안공간정보) 연안자료제공 정보를 제공한다.,2015-12-17,2015-12-24,연안계획과,,"['연안 자료제공 리스트 정보 현황', '연안 자료제공 상세정보 현황', '연안 자료제공 파일다운로드 정보 현황']"
부산 도시철도 문화행사 정보,부산 도시철도에서 시행하는 행사 및 일정을 조회하는 서비스,2014-08-25,2017-08-31,기획조정실 정보화단,051-640-7174,['부산 도시철도 문화행사 정보']
색채정보,"KS A 0011 물체색의 색이름, KS A 0062 색의 3속성에 의한 표시방법에 의한 1519개 표준색이름, 색의 삼속성(HV/C), sRGB, CMYK 표준색채 정보",2014-04-23,2014-04-23,,,[]
[특허] 한국특허영문초록(REST),"1. 개요
한국 특허정보를 영문으로 가공하여 해외에 배포할 수 있도록 한 한국특허영문초록(KPA)을 API(REST방식)로 제공합니다.

2. 세부 정보 내용
① 검색: 일반검색 및 항목별검색 기능(XML)
② 서지데이터: 초록, 출원인, 발명자, 인용문헌, 우선권정보, 인용문헌 등(XML)
③ 도면데이터: 대표도면(다운로드 경로)

3. 데이터 문의 및 이용 상담
한국특허정보원 IP정보활용지원센터
T) 02-6915-1423, E-mail) rawdata@kipi.or.kr, Web)http://plus.kipris.or.kr",2014-12-24,2014-12-24,"정보관리과,한국특허정보원 IP정보확산팀,한국특허정보원 IP정보확산팀",042-481-5137,['한국특허영문초록-도면(REST)']
[특허] 특허/실용신안 공보-도면/전문,특허 및 실용신안 공보에 대한 도면/전문 제공,2012-12-03,2014-07-22,"정보관리과,한국특허정보원 IP정보확산팀,한국특허정보원 IP정보확산팀",042-481-5137,"['모든 전문 및 대표도 유무', '공보책자', '공개책자', '정정공고 PDF', '공보전문 PDF', '공개전문 PDF', '대표도면']"
공지사항조회서비스,가장 최근에 등록된 국회전자도서관시스템 공지사항 5건을 조회하여 제공하는 서비스,,,,,
제주특별자치도 기상관측 정보,제주도 기상관측 현황입니다.,2017-11-01,2017-11-02,정보화담당관,064-710-2344,[]
경상남도 거제시 생활지도 정보,"국토지리정보
각종 생활안전지도 정보
안전통학로, 안전귀갓길",2013-10-30,2015-03-17,안전행정국 정보통신과,055-639-4024,[]
부산 무인민원발급기 현황,부산광역시에서 관리하는 무인민원 발급기 현황,2015-11-10,2017-08-14,정보화담당관,051-888-2396,"['무인 민원 발급 정보', '무인 민원 발급 정보']"
경기도 동물관련 현황,"경기도 내의 동물병원, 동물약국, 동물용 의료용구, 동물장묘등의 동물과 관련된 업체 및 시설 현황입니다.",2017-10-19,2017-10-31,빅데이터담당관,031-8008-2895,[]
어린이집 현황,"전주시내 어린이집 현황(소재지,연락처,인원 등)",2015-01-07,2018-01-26,자치행정과,063-281-2136,['어린이집 목록']
경기도 수원시 공공시설개방정보,"경기도 수원시 공공시설개방정보(개방시설명, 개방장소 등)제공",2016-12-13,2016-12-22,-,031-228-2306,['수원시 공공시설개방정보']
"경기도 후원방문 판매업,다단계 판매업,선불식 할부 거래업 현황","경기도의 후원방문판매업,다단계판매업,선불식할부거래업현황.
업종명, 상호명, 소재지주소, 전화번호 등의 정보를 제공",2017-11-23,2017-12-04,빅데이터담당관,031-8008-2895,[]
경기도 수산업 관련현황,"경기도 내 어선,전업어가수, 겸업어가수, 어업종사자수등 수산업 관련 집계 및 현황 정보 입니다.",2018-03-29,2018-04-04,빅데이터담당관,031-8008-2895,[]
국가교통정보도,교통정보 산업과 관련된 많은 업계에서는 교통정보의 원활한 교환을 위한 전국 교통망에 대해 단일화된 ID체계를 적용한 표준교통망 DB 구축이 필요함에 따라 생산된 지도정보를 제공합니다.,2017-04-26,2017-05-02,공간정보진흥과,044-201-3475,[]
경기도 수원시 도서관정보,"경기도 수원시 도서관정보(도서관명, 위치, 연락처 등) 제공",2016-01-29,2016-03-17,-,031-228-2306,['경기도 수원시 도서관목록']
서귀포시 시정뉴스,서귀포시 보도자료,2014-02-24,2017-12-06,,,"['서귀포시 시정뉴스', '서귀포시 시정뉴스 상세정보']"
제주특별자치도_벤처/창업관련정보,제주특별자치도내 창업보육센터 현황 및 벤처/창업관련정보 제공,2013-12-31,2014-03-24,제주특별자치도,064-710-2345,[]
공연 전시 목록,"아르코예술극장. 대학로예술극장 공연 목록, 아르코미술관, 인사미술공간 전시 목록 제공",2015-08-05,2017-06-07,재무관리부,061-900-0212,['아르코미술관 전시']
경기도 식품안전 관련 현황,"경기도 내의 부적함 식품 , 시중유통식품안전성검사, 식중독, 식품안전관리인증기준(HACCP) 등 식품 안전과 관련된 현황 정보입니다.",2017-10-19,2017-10-31,빅데이터담당관,031-8008-2895,[]
연안정보도,연안정보,2017-05-15,2017-05-16,국가공간정보센터,044-201-3495,[]
문화재청 문화재 공간 정보,문화재 공간정보 기반의 규제정보 및 활용서비스 제공,2014-11-20,2014-12-15,정보화담당관실,042-481-4756,[]
특허청 [공통] 인터넷 기술공지,"1. 개요
특허청은 인터넷을 통해 자신의 발명 아이디어를 알려 다른 사람이 해당 기술을 특허 출원할 경우 특허권을 획득할 수 없도록 하여 창조적 기술을 보호받을 수 있게 하고 있습니다. 기술공지 희망자가 기술내용을 특허청 인터넷기술공지 사이트에 게재하면 공신력 있는 공지 일자가 부여됩니다. 이와 관련된 정보를 제공합니다.
- 특장점: 인터넷기술공지 정보를 주로 TXT로 제공
- 주요 활용분야: IP서비스, IP분석, IP평가 등 분야

2. 세부 정보 내용
① 기술정보 : 기술구성, 기술효과, 기술관련분야, 기술목적 등
② 인명정보 : 개발자, 작성자 등

3. 데이터 문의 및 이용 상담
한국특허정보원 IP정보활용지원센터
T) 02-6915-1423, E-mail) kiprisplus@kipi.or.kr
※ 하단에 제공되는 데이터는 샘플입니다. 전체 이용을 원하시는 경우, 안내 홈페이지로 이동하여 상세정보를 확인하십시오.(http://plus.kipris.or.kr)",2017-04-26,2017-05-02,한국특허정보원 IP정보확산팀,02-6915-1423,[]
